L1FmNodeDesc,L1FmOsfpCageNum,L1FmOsfpPortNum,L2FmNodeDesc,L2FmOsfpCageNum,L2FmOsfpPortNum
R1:G3,009,1,K3,017,1
R1:G3,009,2,K3,017,2
R1:G3,010,1,K3,018,1
R1:G3,010,2,K3,018,2
R1:G3,011,1,K3,019,1
R1:G3,011,2,K3,019,2
R1:G3,012,1,K3,020,1
R1:G3,012,2,K3,020,2
R2:G3,009,1,K3,021,1
R2:G3,009,2,K3,021,2
R2:G3,010,1,K3,022,1
R2:G3,010,2,K3,022,2
R2:G3,011,1,K3,023,1
R2:G3,011,2,K3,023,2
R2:G3,012,1,K3,024,1
R2:G3,012,2,K3,024,2
R3:G3,009,1,K3,025,1
R3:G3,009,2,K3,025,2
R3:G3,010,1,K3,026,1
R3:G3,010,2,K3,026,2
R3:G3,011,1,K3,027,1
R3:G3,011,2,K3,027,2
R3:G3,012,1,K3,028,1
R3:G3,012,2,K3,028,2
R4:G3,009,1,K3,029,1
R4:G3,009,2,K3,029,2
R4:G3,010,1,K3,030,1
R4:G3,010,2,K3,030,2
R4:G3,011,1,K3,031,1
R4:G3,011,2,K3,031,2
R4:G3,012,1,K3,032,1
R4:G3,012,2,K3,032,2
R1:G1,005,1,K4,001,1
R1:G1,005,2,K4,001,2
R1:G1,006,1,K4,002,1
R1:G1,006,2,K4,002,2
R1:G1,007,1,K4,003,1
R1:G1,007,2,K4,003,2
R1:G1,008,1,K4,004,1
R1:G1,008,2,K4,004,2
R2:G1,005,1,K4,005,1
R2:G1,005,2,K4,005,2
R2:G1,006,1,K4,006,1
R2:G1,006,2,K4,006,2
R2:G1,007,1,K4,007,1
R2:G1,007,2,K4,007,2
R2:G1,008,1,K4,008,1
R2:G1,008,2,K4,008,2
R3:G1,005,1,K4,009,1
R3:G1,005,2,K4,009,2
R3:G1,006,1,K4,010,1
R3:G1,006,2,K4,010,2
R3:G1,007,1,K4,011,1
R3:G1,007,2,K4,011,2
R3:G1,008,1,K4,012,1
R3:G1,008,2,K4,012,2
R4:G1,005,1,K4,013,1
R4:G1,005,2,K4,013,2
R4:G1,006,1,K4,014,1
R4:G1,006,2,K4,014,2
R4:G1,007,1,K4,015,1
R4:G1,007,2,K4,015,2
R4:G1,008,1,K4,016,1
R4:G1,008,2,K4,016,2
R1:G1,013,1,K4,017,1
R1:G1,013,2,K4,017,2
R1:G1,014,1,K4,018,1
R1:G1,014,2,K4,018,2
R1:G1,015,1,K4,019,1
R1:G1,015,2,K4,019,2
R1:G1,016,1,K4,020,1
R1:G1,016,2,K4,020,2
R2:G1,013,1,K4,021,1
R2:G1,013,2,K4,021,2
R2:G1,014,1,K4,022,1
R2:G1,014,2,K4,022,2
R2:G1,015,1,K4,023,1
R2:G1,015,2,K4,023,2
R2:G1,016,1,K4,024,1
R2:G1,016,2,K4,024,2
R3:G1,013,1,K4,025,1
R3:G1,013,2,K4,025,2
R3:G1,014,1,K4,026,1
R3:G1,014,2,K4,026,2
R3:G1,015,1,K4,027,1
R3:G1,015,2,K4,027,2
R3:G1,016,1,K4,028,1
R3:G1,016,2,K4,028,2
R4:G1,013,1,K4,029,1
R4:G1,013,2,K4,029,2
R4:G1,014,1,K4,030,1
R4:G1,014,2,K4,030,2
R4:G1,015,1,K4,031,1
R4:G1,015,2,K4,031,2
R4:G1,016,1,K4,032,1
R4:G1,016,2,K4,032,2
R1:G2,005,1,K5,001,1
R1:G2,005,2,K5,001,2
R1:G2,006,1,K5,002,1
R1:G2,006,2,K5,002,2
R1:G2,007,1,K5,003,1
R1:G2,007,2,K5,003,2
R1:G2,008,1,K5,004,1
R1:G2,008,2,K5,004,2
R2:G2,005,1,K5,005,1
R2:G2,005,2,K5,005,2
R2:G2,006,1,K5,006,1
R2:G2,006,2,K5,006,2
R2:G2,007,1,K5,007,1
R2:G2,007,2,K5,007,2
R2:G2,008,1,K5,008,1
R2:G2,008,2,K5,008,2
R3:G2,005,1,K5,009,1
R3:G2,005,2,K5,009,2
R3:G2,006,1,K5,010,1
R3:G2,006,2,K5,010,2
R3:G2,007,1,K5,011,1
R3:G2,007,2,K5,011,2
R3:G2,008,1,K5,012,1
R3:G2,008,2,K5,012,2
R4:G2,005,1,K5,013,1
R4:G2,005,2,K5,013,2
R4:G2,006,1,K5,014,1
R4:G2,006,2,K5,014,2
R4:G2,007,1,K5,015,1
R4:G2,007,2,K5,015,2
R4:G2,008,1,K5,016,1
R4:G2,008,2,K5,016,2
R1:G2,013,1,K5,017,1
R1:G2,013,2,K5,017,2
R1:G2,014,1,K5,018,1
R1:G2,014,2,K5,018,2
R1:G2,015,1,K5,019,1
R1:G2,015,2,K5,019,2
R1:G2,016,1,K5,020,1
R1:G2,016,2,K5,020,2
R2:G2,013,1,K5,021,1
R2:G2,013,2,K5,021,2
R2:G2,014,1,K5,022,1
R2:G2,014,2,K5,022,2
R2:G2,015,1,K5,023,1
R2:G2,015,2,K5,023,2
R2:G2,016,1,K5,024,1
R2:G2,016,2,K5,024,2
R3:G2,013,1,K5,025,1
R3:G2,013,2,K5,025,2
R3:G2,014,1,K5,026,1
R3:G2,014,2,K5,026,2
R3:G2,015,1,K5,027,1
R3:G2,015,2,K5,027,2
R3:G2,016,1,K5,028,1
R3:G2,016,2,K5,028,2
R4:G2,013,1,K5,029,1
R4:G2,013,2,K5,029,2
R4:G2,014,1,K5,030,1
R4:G2,014,2,K5,030,2
R4:G2,015,1,K5,031,1
R4:G2,015,2,K5,031,2
R4:G2,016,1,K5,032,1
R4:G2,016,2,K5,032,2
R1:G3,005,1,K6,001,1
R1:G3,005,2,K6,001,2
R1:G3,006,1,K6,002,1
R1:G3,006,2,K6,002,2
R1:G3,007,1,K6,003,1
R1:G3,007,2,K6,003,2
R1:G3,008,1,K6,004,1
R1:G3,008,2,K6,004,2
R2:G3,005,1,K6,005,1
R2:G3,005,2,K6,005,2
R2:G3,006,1,K6,006,1
R2:G3,006,2,K6,006,2
R2:G3,007,1,K6,007,1
R2:G3,007,2,K6,007,2
R2:G3,008,1,K6,008,1
R2:G3,008,2,K6,008,2
R3:G3,005,1,K6,009,1
R3:G3,005,2,K6,009,2
R3:G3,006,1,K6,010,1
R3:G3,006,2,K6,010,2
R3:G3,007,1,K6,011,1
R3:G3,007,2,K6,011,2
R3:G3,008,1,K6,012,1
R3:G3,008,2,K6,012,2
R4:G3,005,1,K6,013,1
R4:G3,005,2,K6,013,2
R4:G3,006,1,K6,014,1
R4:G3,006,2,K6,014,2
R4:G3,007,1,K6,015,1
R4:G3,007,2,K6,015,2
R4:G3,008,1,K6,016,1
R4:G3,008,2,K6,016,2
R1:G3,013,1,K6,017,1
R1:G3,013,2,K6,017,2
R1:G3,014,1,K6,018,1
R1:G3,014,2,K6,018,2
R1:G3,015,1,K6,019,1
R1:G3,015,2,K6,019,2
R1:G3,016,1,K6,020,1
R1:G3,016,2,K6,020,2
R2:G3,013,1,K6,021,1
R2:G3,013,2,K6,021,2
R2:G3,014,1,K6,022,1
R2:G3,014,2,K6,022,2
R2:G3,015,1,K6,023,1
R2:G3,015,2,K6,023,2
R2:G3,016,1,K6,024,1
R2:G3,016,2,K6,024,2
R3:G3,013,1,K6,025,1
R3:G3,013,2,K6,025,2
R3:G3,014,1,K6,026,1
R3:G3,014,2,K6,026,2
R3:G3,015,1,K6,027,1
R3:G3,015,2,K6,027,2
R3:G3,016,1,K6,028,1
R3:G3,016,2,K6,028,2
R4:G3,013,1,K6,029,1
R4:G3,013,2,K6,029,2
R4:G3,014,1,K6,030,1
R4:G3,014,2,K6,030,2
R4:G3,015,1,K6,031,1
R4:G3,015,2,K6,031,2
R4:G3,016,1,K6,032,1
R4:G3,016,2,K6,032,2
