L1FmNodeDesc,L1FmOsfpCageNum,L1FmOsfpPortNum,L2FmNodeDesc,L2FmOsfpCageNum,L2FmOsfpPortNum
R2:G2,008,1,K2,016,1
R2:G2,008,2,K2,016,2
R1:G2,009,1,K2,017,1
R1:G2,009,2,K2,017,2
R1:G2,010,1,K2,018,1
R1:G2,010,2,K2,018,2
R1:G2,011,1,K2,019,1
R1:G2,011,2,K2,019,2
R1:G2,012,1,K2,020,1
R1:G2,012,2,K2,020,2
R1:G2,013,1,K2,021,1
R1:G2,013,2,K2,021,2
R1:G2,014,1,K2,022,1
R1:G2,014,2,K2,022,2
R1:G2,015,1,K2,023,1
R1:G2,015,2,K2,023,2
R1:G2,016,1,K2,024,1
R1:G2,016,2,K2,024,2
R2:G2,009,1,K2,025,1
R2:G2,009,2,K2,025,2
R2:G2,010,1,K2,026,1
R2:G2,010,2,K2,026,2
R2:G2,011,1,K2,027,1
R2:G2,011,2,K2,027,2
R2:G2,012,1,K2,028,1
R2:G2,012,2,K2,028,2
R2:G2,013,1,K2,029,1
R2:G2,013,2,K2,029,2
R2:G2,014,1,K2,030,1
R2:G2,014,2,K2,030,2
R2:G2,015,1,K2,031,1
R2:G2,015,2,K2,031,2
R2:G2,016,1,K2,032,1
R2:G2,016,2,K2,032,2
R1:G3,001,1,K3,001,1
R1:G3,001,2,K3,001,2
R1:G3,002,1,K3,002,1
R1:G3,002,2,K3,002,2
R1:G3,003,1,K3,003,1
R1:G3,003,2,K3,003,2
R1:G3,004,1,K3,004,1
R1:G3,004,2,K3,004,2
R1:G3,005,1,K3,005,1
R1:G3,005,2,K3,005,2
R1:G3,006,1,K3,006,1
R1:G3,006,2,K3,006,2
R1:G3,007,1,K3,007,1
R1:G3,007,2,K3,007,2
R1:G3,008,1,K3,008,1
R1:G3,008,2,K3,008,2
R2:G3,001,1,K3,009,1
R2:G3,001,2,K3,009,2
R2:G3,002,1,K3,010,1
R2:G3,002,2,K3,010,2
R2:G3,003,1,K3,011,1
R2:G3,003,2,K3,011,2
R2:G3,004,1,K3,012,1
R2:G3,004,2,K3,012,2
R2:G3,005,1,K3,013,1
R2:G3,005,2,K3,013,2
R2:G3,006,1,K3,014,1
R2:G3,006,2,K3,014,2
R2:G3,007,1,K3,015,1
R2:G3,007,2,K3,015,2
R2:G3,008,1,K3,016,1
R2:G3,008,2,K3,016,2
R1:G3,009,1,K3,017,1
R1:G3,009,2,K3,017,2
R1:G3,010,1,K3,018,1
R1:G3,010,2,K3,018,2
R1:G3,011,1,K3,019,1
R1:G3,011,2,K3,019,2
R1:G3,012,1,K3,020,1
R1:G3,012,2,K3,020,2
R1:G3,013,1,K3,021,1
R1:G3,013,2,K3,021,2
R1:G3,014,1,K3,022,1
R1:G3,014,2,K3,022,2
R1:G3,015,1,K3,023,1
R1:G3,015,2,K3,023,2
R1:G3,016,1,K3,024,1
R1:G3,016,2,K3,024,2
R2:G3,009,1,K3,025,1
R2:G3,009,2,K3,025,2
R2:G3,010,1,K3,026,1
R2:G3,010,2,K3,026,2
R2:G3,011,1,K3,027,1
R2:G3,011,2,K3,027,2
R2:G3,012,1,K3,028,1
R2:G3,012,2,K3,028,2
R2:G3,013,1,K3,029,1
R2:G3,013,2,K3,029,2
R2:G3,014,1,K3,030,1
R2:G3,014,2,K3,030,2
R2:G3,015,1,K3,031,1
R2:G3,015,2,K3,031,2
R2:G3,016,1,K3,032,1
R2:G3,016,2,K3,032,2
