L1FmNodeId,L1FmOsfpCageNum,L1FmOsfpPortNum,L2FmNodeId,L2FmOsfpCageNum,L2FmOsfpPortNum
8193,001,1,16385,001,1
8193,001,2,16385,001,2
8193,002,1,16385,002,1
8193,002,2,16385,002,2
8193,003,1,16385,003,1
8193,003,2,16385,003,2
8193,004,1,16385,004,1
8193,004,2,16385,004,2
8196,001,1,16385,005,1
8196,001,2,16385,005,2
8196,002,1,16385,006,1
8196,002,2,16385,006,2
8196,003,1,16385,007,1
8196,003,2,16385,007,2
8196,004,1,16385,008,1
8196,004,2,16385,008,2
8199,001,1,16385,009,1
8199,001,2,16385,009,2
8199,002,1,16385,010,1
8199,002,2,16385,010,2
8199,003,1,16385,011,1
8199,003,2,16385,011,2
8199,004,1,16385,012,1
8199,004,2,16385,012,2
8202,001,1,16385,013,1
8202,001,2,16385,013,2
8202,002,1,16385,014,1
8202,002,2,16385,014,2
8202,003,1,16385,015,1
8202,003,2,16385,015,2
8202,004,1,16385,016,1
8202,004,2,16385,016,2
8193,009,1,16385,017,1
8193,009,2,16385,017,2
8193,010,1,16385,018,1
8193,010,2,16385,018,2
8193,011,1,16385,019,1
8193,011,2,16385,019,2
8193,012,1,16385,020,1
8193,012,2,16385,020,2
8196,009,1,16385,021,1
8196,009,2,16385,021,2
8196,010,1,16385,022,1
8196,010,2,16385,022,2
8196,011,1,16385,023,1
8196,011,2,16385,023,2
8196,012,1,16385,024,1
8196,012,2,16385,024,2
8199,009,1,16385,025,1
8199,009,2,16385,025,2
8199,010,1,16385,026,1
8199,010,2,16385,026,2
8199,011,1,16385,027,1
8199,011,2,16385,027,2
8199,012,1,16385,028,1
8199,012,2,16385,028,2
8202,009,1,16385,029,1
8202,009,2,16385,029,2
8202,010,1,16385,030,1
8202,010,2,16385,030,2
8202,011,1,16385,031,1
8202,011,2,16385,031,2
8202,012,1,16385,032,1
8202,012,2,16385,032,2
8194,001,1,16386,001,1
8194,001,2,16386,001,2
8194,002,1,16386,002,1
8194,002,2,16386,002,2
8194,003,1,16386,003,1
8194,003,2,16386,003,2
8194,004,1,16386,004,1
8194,004,2,16386,004,2
8197,001,1,16386,005,1
8197,001,2,16386,005,2
8197,002,1,16386,006,1
8197,002,2,16386,006,2
8197,003,1,16386,007,1
8197,003,2,16386,007,2
8197,004,1,16386,008,1
8197,004,2,16386,008,2
8200,001,1,16386,009,1
8200,001,2,16386,009,2
8200,002,1,16386,010,1
8200,002,2,16386,010,2
8200,003,1,16386,011,1
8200,003,2,16386,011,2
8200,004,1,16386,012,1
8200,004,2,16386,012,2
8203,001,1,16386,013,1
8203,001,2,16386,013,2
8203,002,1,16386,014,1
8203,002,2,16386,014,2
8203,003,1,16386,015,1
8203,003,2,16386,015,2
8203,004,1,16386,016,1
8203,004,2,16386,016,2
8194,009,1,16386,017,1
8194,009,2,16386,017,2
8194,010,1,16386,018,1
8194,010,2,16386,018,2
8194,011,1,16386,019,1
8194,011,2,16386,019,2
8194,012,1,16386,020,1
8194,012,2,16386,020,2
8197,009,1,16386,021,1
8197,009,2,16386,021,2
8197,010,1,16386,022,1
8197,010,2,16386,022,2
8197,011,1,16386,023,1
8197,011,2,16386,023,2
8197,012,1,16386,024,1
8197,012,2,16386,024,2
8200,009,1,16386,025,1
8200,009,2,16386,025,2
8200,010,1,16386,026,1
8200,010,2,16386,026,2
8200,011,1,16386,027,1
8200,011,2,16386,027,2
8200,012,1,16386,028,1
8200,012,2,16386,028,2
8203,009,1,16386,029,1
8203,009,2,16386,029,2
8203,010,1,16386,030,1
8203,010,2,16386,030,2
8203,011,1,16386,031,1
8203,011,2,16386,031,2
8203,012,1,16386,032,1
8203,012,2,16386,032,2
8195,001,1,16387,001,1
8195,001,2,16387,001,2
8195,002,1,16387,002,1
8195,002,2,16387,002,2
8195,003,1,16387,003,1
8195,003,2,16387,003,2
8195,004,1,16387,004,1
8195,004,2,16387,004,2
8198,001,1,16387,005,1
8198,001,2,16387,005,2
8198,002,1,16387,006,1
8198,002,2,16387,006,2
8198,003,1,16387,007,1
8198,003,2,16387,007,2
8198,004,1,16387,008,1
8198,004,2,16387,008,2
8201,001,1,16387,009,1
8201,001,2,16387,009,2
8201,002,1,16387,010,1
8201,002,2,16387,010,2
8201,003,1,16387,011,1
8201,003,2,16387,011,2
8201,004,1,16387,012,1
8201,004,2,16387,012,2
8204,001,1,16387,013,1
8204,001,2,16387,013,2
8204,002,1,16387,014,1
8204,002,2,16387,014,2
8204,003,1,16387,015,1
8204,003,2,16387,015,2
8204,004,1,16387,016,1
8204,004,2,16387,016,2
8195,009,1,16387,017,1
8195,009,2,16387,017,2
8195,010,1,16387,018,1
8195,010,2,16387,018,2
8195,011,1,16387,019,1
8195,011,2,16387,019,2
8195,012,1,16387,020,1
8195,012,2,16387,020,2
8198,009,1,16387,021,1
8198,009,2,16387,021,2
8198,010,1,16387,022,1
8198,010,2,16387,022,2
8198,011,1,16387,023,1
8198,011,2,16387,023,2
8198,012,1,16387,024,1
8198,012,2,16387,024,2
8201,009,1,16387,025,1
8201,009,2,16387,025,2
8201,010,1,16387,026,1
8201,010,2,16387,026,2
8201,011,1,16387,027,1
8201,011,2,16387,027,2
8201,012,1,16387,028,1
8201,012,2,16387,028,2
8204,009,1,16387,029,1
8204,009,2,16387,029,2
8204,010,1,16387,030,1
8204,010,2,16387,030,2
8204,011,1,16387,031,1
8204,011,2,16387,031,2
8204,012,1,16387,032,1
8204,012,2,16387,032,2
8193,005,1,16388,001,1
8193,005,2,16388,001,2
8193,006,1,16388,002,1
8193,006,2,16388,002,2
8193,007,1,16388,003,1
8193,007,2,16388,003,2
8193,008,1,16388,004,1
8193,008,2,16388,004,2
8196,005,1,16388,005,1
8196,005,2,16388,005,2
8196,006,1,16388,006,1
8196,006,2,16388,006,2
8196,007,1,16388,007,1
8196,007,2,16388,007,2
8196,008,1,16388,008,1
8196,008,2,16388,008,2
8199,005,1,16388,009,1
8199,005,2,16388,009,2
8199,006,1,16388,010,1
8199,006,2,16388,010,2
8199,007,1,16388,011,1
8199,007,2,16388,011,2
8199,008,1,16388,012,1
8199,008,2,16388,012,2
8202,005,1,16388,013,1
8202,005,2,16388,013,2
8202,006,1,16388,014,1
8202,006,2,16388,014,2
8202,007,1,16388,015,1
8202,007,2,16388,015,2
8202,008,1,16388,016,1
8202,008,2,16388,016,2
8193,013,1,16388,017,1
8193,013,2,16388,017,2
8193,014,1,16388,018,1
8193,014,2,16388,018,2
8193,015,1,16388,019,1
8193,015,2,16388,019,2
8193,016,1,16388,020,1
8193,016,2,16388,020,2
8196,013,1,16388,021,1
8196,013,2,16388,021,2
8196,014,1,16388,022,1
8196,014,2,16388,022,2
8196,015,1,16388,023,1
8196,015,2,16388,023,2
8196,016,1,16388,024,1
8196,016,2,16388,024,2
8199,013,1,16388,025,1
8199,013,2,16388,025,2
8199,014,1,16388,026,1
8199,014,2,16388,026,2
8199,015,1,16388,027,1
8199,015,2,16388,027,2
8199,016,1,16388,028,1
8199,016,2,16388,028,2
8202,013,1,16388,029,1
8202,013,2,16388,029,2
8202,014,1,16388,030,1
8202,014,2,16388,030,2
8202,015,1,16388,031,1
8202,015,2,16388,031,2
8202,016,1,16388,032,1
8202,016,2,16388,032,2
8194,005,1,16389,001,1
8194,005,2,16389,001,2
8194,006,1,16389,002,1
8194,006,2,16389,002,2
8194,007,1,16389,003,1
8194,007,2,16389,003,2
8194,008,1,16389,004,1
8194,008,2,16389,004,2
8197,005,1,16389,005,1
8197,005,2,16389,005,2
8197,006,1,16389,006,1
8197,006,2,16389,006,2
8197,007,1,16389,007,1
8197,007,2,16389,007,2
8197,008,1,16389,008,1
8197,008,2,16389,008,2
8200,005,1,16389,009,1
8200,005,2,16389,009,2
8200,006,1,16389,010,1
8200,006,2,16389,010,2
8200,007,1,16389,011,1
8200,007,2,16389,011,2
8200,008,1,16389,012,1
8200,008,2,16389,012,2
8203,005,1,16389,013,1
8203,005,2,16389,013,2
8203,006,1,16389,014,1
8203,006,2,16389,014,2
8203,007,1,16389,015,1
8203,007,2,16389,015,2
8203,008,1,16389,016,1
8203,008,2,16389,016,2
8194,013,1,16389,017,1
8194,013,2,16389,017,2
8194,014,1,16389,018,1
8194,014,2,16389,018,2
8194,015,1,16389,019,1
8194,015,2,16389,019,2
8194,016,1,16389,020,1
8194,016,2,16389,020,2
8197,013,1,16389,021,1
8197,013,2,16389,021,2
8197,014,1,16389,022,1
8197,014,2,16389,022,2
8197,015,1,16389,023,1
8197,015,2,16389,023,2
8197,016,1,16389,024,1
8197,016,2,16389,024,2
8200,013,1,16389,025,1
8200,013,2,16389,025,2
8200,014,1,16389,026,1
8200,014,2,16389,026,2
8200,015,1,16389,027,1
8200,015,2,16389,027,2
8200,016,1,16389,028,1
8200,016,2,16389,028,2
8203,013,1,16389,029,1
8203,013,2,16389,029,2
8203,014,1,16389,030,1
8203,014,2,16389,030,2
8203,015,1,16389,031,1
8203,015,2,16389,031,2
8203,016,1,16389,032,1
8203,016,2,16389,032,2
8195,005,1,16390,001,1
8195,005,2,16390,001,2
8195,006,1,16390,002,1
8195,006,2,16390,002,2
8195,007,1,16390,003,1
8195,007,2,16390,003,2
8195,008,1,16390,004,1
8195,008,2,16390,004,2
8198,005,1,16390,005,1
8198,005,2,16390,005,2
8198,006,1,16390,006,1
8198,006,2,16390,006,2
8198,007,1,16390,007,1
8198,007,2,16390,007,2
8198,008,1,16390,008,1
8198,008,2,16390,008,2
8201,005,1,16390,009,1
8201,005,2,16390,009,2
8201,006,1,16390,010,1
8201,006,2,16390,010,2
8201,007,1,16390,011,1
8201,007,2,16390,011,2
8201,008,1,16390,012,1
8201,008,2,16390,012,2
8204,005,1,16390,013,1
8204,005,2,16390,013,2
8204,006,1,16390,014,1
8204,006,2,16390,014,2
8204,007,1,16390,015,1
8204,007,2,16390,015,2
8204,008,1,16390,016,1
8204,008,2,16390,016,2
8195,013,1,16390,017,1
8195,013,2,16390,017,2
8195,014,1,16390,018,1
8195,014,2,16390,018,2
8195,015,1,16390,019,1
8195,015,2,16390,019,2
8195,016,1,16390,020,1
8195,016,2,16390,020,2
8198,013,1,16390,021,1
8198,013,2,16390,021,2
8198,014,1,16390,022,1
8198,014,2,16390,022,2
8198,015,1,16390,023,1
8198,015,2,16390,023,2
8198,016,1,16390,024,1
8198,016,2,16390,024,2
8201,013,1,16390,025,1
8201,013,2,16390,025,2
8201,014,1,16390,026,1
8201,014,2,16390,026,2
8201,015,1,16390,027,1
8201,015,2,16390,027,2
8201,016,1,16390,028,1
8201,016,2,16390,028,2
8204,013,1,16390,029,1
8204,013,2,16390,029,2
8204,014,1,16390,030,1
8204,014,2,16390,030,2
8204,015,1,16390,031,1
8204,015,2,16390,031,2
8204,016,1,16390,032,1
8204,016,2,16390,032,2
