nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
8193,00,050,0,16385,00,050,0
8193,00,049,0,16385,00,049,0
8193,00,051,0,16385,00,051,0
8193,00,048,0,16385,00,048,0
8193,00,054,0,16385,00,059,0
8193,00,053,0,16385,00,056,0
8193,00,055,0,16385,00,058,0
8193,00,052,0,16385,00,057,0
8193,00,058,0,16385,00,054,0
8193,00,057,0,16385,00,053,0
8193,00,059,0,16385,00,055,0
8193,00,056,0,16385,00,052,0
8193,00,062,0,16385,00,063,0
8193,00,061,0,16385,00,060,0
8193,00,063,0,16385,00,062,0
8193,00,060,0,16385,00,061,0
8193,00,047,0,16385,00,047,0
8193,00,044,0,16385,00,044,0
8193,00,046,0,16385,00,046,0
8193,00,045,0,16385,00,045,0
8193,00,043,0,16385,00,038,0
8193,00,040,0,16385,00,037,0
8193,00,042,0,16385,00,039,0
8193,00,041,0,16385,00,036,0
8193,00,039,0,16385,00,043,0
8193,00,036,0,16385,00,040,0
8193,00,038,0,16385,00,042,0
8193,00,037,0,16385,00,041,0
8193,00,035,0,16385,00,034,0
8193,00,032,0,16385,00,033,0
8193,00,034,0,16385,00,035,0
8193,00,033,0,16385,00,032,0
8196,00,050,0,16385,00,002,0
8196,00,049,0,16385,00,001,0
8196,00,051,0,16385,00,003,0
8196,00,048,0,16385,00,000,0
8196,00,054,0,16385,00,011,0
8196,00,053,0,16385,00,008,0
8196,00,055,0,16385,00,010,0
8196,00,052,0,16385,00,009,0
8196,00,058,0,16385,00,006,0
8196,00,057,0,16385,00,005,0
8196,00,059,0,16385,00,007,0
8196,00,056,0,16385,00,004,0
8196,00,062,0,16385,00,015,0
8196,00,061,0,16385,00,012,0
8196,00,063,0,16385,00,014,0
8196,00,060,0,16385,00,013,0
8196,00,047,0,16385,00,031,0
8196,00,044,0,16385,00,028,0
8196,00,046,0,16385,00,030,0
8196,00,045,0,16385,00,029,0
8196,00,043,0,16385,00,022,0
8196,00,040,0,16385,00,021,0
8196,00,042,0,16385,00,023,0
8196,00,041,0,16385,00,020,0
8196,00,039,0,16385,00,027,0
8196,00,036,0,16385,00,024,0
8196,00,038,0,16385,00,026,0
8196,00,037,0,16385,00,025,0
8196,00,035,0,16385,00,018,0
8196,00,032,0,16385,00,017,0
8196,00,034,0,16385,00,019,0
8196,00,033,0,16385,00,016,0
8193,01,050,0,16385,01,050,0
8193,01,049,0,16385,01,049,0
8193,01,051,0,16385,01,051,0
8193,01,048,0,16385,01,048,0
8193,01,054,0,16385,01,059,0
8193,01,053,0,16385,01,056,0
8193,01,055,0,16385,01,058,0
8193,01,052,0,16385,01,057,0
8193,01,058,0,16385,01,054,0
8193,01,057,0,16385,01,053,0
8193,01,059,0,16385,01,055,0
